40.35	190	0.473	0	3.713	2.031	0.4179
43.79	170	1.128	0	8.369	3.707	0.2283
47.36	150	2.943	0	19.42	8.120	0.1562
49.21	140	4.459	0	28.34	11.75	0.1537
51.16	130	5.672	0.0120	34.38	14.68	0.1375
53.23	120	5.749	0.0376	30.18	14.88	0.1151
55.52	110	5.664	0.0174	25.01	14.68	0.1568
58.19	100	1.604	0	5.310	4.743	0.7707
